age_binary,age_bucketized,sex_binary,race_C,score,rank,juv_fel_count_C,decile_score_C,juv_misd_count_C,juv_other_count_C,priors_count_C,days_b_screening_arrest_C,c_days_from_compas_C,c_charge_degree_C,v_decile_score_C,start_C,end_C,event_C,MarriageStatus_C,is_recid,is_violent_recid,two_year_recid,Violence_score,Recidivism_score
1,1,0,0,2.238959544690792,1,0,1,0,0,2,0,0,0,0,2,2,1,0,1,0,1,-2.27,0.18
0,1,1,0,2.2366305881984005,2,3,0,2,1,2,1,0,1,0,0,2,0,5,0,1,0,-0.7195082002255218,-0.31493053890721434
0,1,1,2,2.23584236145756,3,0,0,2,2,3,0,1,0,1,1,0,1,1,0,0,0,0.7962871072476094,0.6073717166616066
0,1,0,2,2.2301326601191507,4,2,1,1,0,1,0,0,1,1,0,2,0,4,0,1,0,-2.822591822893964,0.2502451133495667
0,0,1,2,2.2283418328378857,5,0,1,2,1,3,2,0,0,1,0,0,0,5,1,0,0,-2.4898773924508566,0.731520289237662
0,1,1,1,2.228337770749095,6,2,1,2,2,2,2,2,1,1,0,1,1,2,0,0,0,-1.8891020026128718,1.387441497624183
0,1,0,2,2.2199583705523267,7,2,1,2,2,1,2,2,1,1,0,0,1,5,1,1,1,-0.14022252876569666,-0.21222037753479794
1,0,1,1,2.2178700020779494,8,1,1,2,2,1,1,2,0,0,0,1,1,6,1,0,0,-3.5551760112758797,0.7795713008929122
0,0,0,0,2.215677879017984,9,2,0,2,1,1,0,1,0,1,1,2,1,4,0,0,0,-3.557414841244623,0.41415477338931295
1,1,0,2,2.2153379754938016,10,0,0,0,1,0,0,2,1,1,0,1,1,3,0,0,0,0.2995656250233347,-0.9827971851856604
1,1,1,0,2.2135835572414657,11,3,0,0,0,1,2,0,0,1,2,2,0,6,1,1,1,-2.7224390457272722,0.08134319044897165
1,1,1,1,2.2129726204195377,12,1,0,2,0,2,1,2,1,0,2,0,1,6,0,1,0,-3.752924521220742,-1.40684364323759
1,0,0,2,2.2120641137668904,13,1,0,0,2,2,0,1,1,1,1,1,0,4,1,0,0,-0.3821540179384853,-2.37890364265714
0,1,1,2,2.210492715851532,14,3,0,1,2,0,1,0,1,1,0,1,1,5,0,1,1,-0.35156355729695754,0.515956641584248
0,0,1,0,2.209549661524129,15,0,1,2,2,1,2,2,1,0,1,2,0,6,0,0,0,-4.249698747126152,0.37452179408692704
1,1,0,0,2.2077495566174434,16,1,1,2,0,1,1,2,0,0,1,2,0,1,1,1,0,-4.335463623596584,-2.8195019117586884
0,0,1,1,2.205414588663809,17,2,1,2,2,2,2,0,1,0,2,1,0,6,0,0,0,-2.527604647144921,-0.3767587576159457
1,0,0,1,2.203637285365531,18,3,1,2,2,3,2,2,0,0,2,2,1,6,0,0,1,-0.8432122323294853,-1.4591754542995623
0,0,0,0,2.1974156724032583,19,2,1,0,0,1,1,2,1,0,2,2,0,0,0,0,1,-1.5580819853958676,-2.9853320227078424
