age_binary,age_bucketized,sex_binary,race_C,score,rank,juv_fel_count_C,decile_score_C,juv_misd_count_C,juv_other_count_C,priors_count_C,days_b_screening_arrest_C,c_days_from_compas_C,c_charge_degree_C,v_decile_score_C,start_C,end_C,event_C,MarriageStatus_C,is_recid,is_violent_recid,two_year_recid,Violence_score,Recidivism_score
1,1,0,0,2.238959544690792,1,0,1,0,0,2,0,0,0,0,2,2,1,0,1,0,1,-2.27,0.18
0,0,0,2,2.2381215475368945,2,0,1,2,0,1,1,2,1,0,1,1,0,1,0,1,1,-2.056559678210176,-2.330577098189874
0,1,1,0,2.2370363991367923,3,0,0,2,0,2,2,2,1,0,1,2,1,4,1,1,0,0.14468979213666522,1.6294405013608229
1,1,1,1,2.2327678491604717,4,0,0,1,1,0,0,2,1,0,2,0,0,4,1,1,0,-3.3452937716508533,0.8281994975055316
1,0,1,0,2.231406660266701,5,3,0,1,0,0,0,2,0,1,2,2,0,4,1,0,1,0.7276709028878594,-1.7634189170561694
0,0,1,0,2.229663002352626,6,0,0,1,2,2,2,0,0,1,1,1,1,2,1,0,0,-3.2323574084101416,-2.3306266912652207
0,1,0,0,2.2287061644144663,7,1,1,0,2,1,2,1,0,1,0,2,0,6,0,0,1,-3.1868505314965616,-2.522458174628832
1,0,1,0,2.2282873013271334,8,0,0,0,0,1,2,0,0,1,0,2,1,5,0,0,0,-4.11605656017993,-0.31082150229318506
0,0,1,2,2.2240973935061787,9,3,1,1,1,2,0,0,0,1,0,1,0,2,0,0,1,-1.4150537026323948,-2.114370532281977
1,1,1,2,2.2237975956687692,10,0,0,1,2,1,1,1,0,1,1,1,1,2,1,0,0,0.0703586845289248,-2.6882711032529705
0,0,0,0,2.2226781373392037,11,3,1,2,1,2,0,0,0,0,1,2,0,2,1,0,0,-0.6499162356078991,-2.1869611402246742
0,0,1,1,2.222630083595892,12,3,1,1,0,1,1,0,1,1,2,2,1,0,0,0,0,-1.7937223469078143,1.430911224108974
1,1,1,2,2.2225959324256497,13,3,1,1,1,3,1,1,1,0,0,1,1,5,0,0,0,-4.037154499578641,-1.9986493243357213
1,1,0,1,2.2198911673031096,14,3,1,0,1,3,2,1,1,0,1,2,0,3,1,1,1,-4.117018225916596,-1.8664216523199573
0,0,0,1,2.219365296141874,15,0,1,2,2,0,2,0,0,0,1,1,1,6,0,0,1,-1.0101761999436878,-0.7663270200810381
1,1,1,2,2.2179929620247365,16,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0.6671807155816305,1.3966257640468394
1,0,1,2,2.216387337008328,17,0,1,1,0,1,1,1,1,0,2,2,0,0,0,1,0,0.7441573405294539,-0.7905402759437714
0,0,0,2,2.214736084102812,18,2,0,2,0,0,1,1,0,1,2,0,1,3,0,0,1,-3.359483933621533,-1.1231665252039784
0,0,1,1,2.211198035798123,19,0,1,1,1,0,1,0,0,0,1,1,0,3,1,0,1,-3.2104499910750635,-0.8009496907677596
0,1,1,1,2.2107002536224,20,1,0,1,0,2,2,1,0,1,1,0,1,1,0,0,0,-2.6171753917481726,-1.1677957620081196
0,0,1,0,2.209634026037688,21,0,1,2,1,0,2,0,1,0,2,2,1,3,1,1,0,0.2529013752891416,-0.3062748057917615
0,0,0,2,2.2082258154037873,22,2,1,1,0,1,1,2,1,1,0,2,0,4,1,1,1,-1.4994862986845312,-1.6984886181025882
1,0,1,2,2.208095325549979,23,2,0,2,2,0,0,0,0,0,1,0,0,4,1,1,1,-3.398197635312308,-0.7897001106118435
0,0,1,0,2.204524227462004,24,3,1,0,1,3,2,0,1,1,1,1,1,0,1,0,1,-1.816749228702556,-0.4479708313366806
0,0,0,2,2.2019801248523896,25,3,0,2,1,2,2,1,1,0,0,1,1,3,1,0,1,-3.4363753489746434,-2.8268376294735487
1,0,0,0,2.201723467162005,26,2,0,1,1,0,2,2,1,0,1,0,0,6,1,1,0,-2.8366364211296275,-0.7014204803896522
1,0,0,1,2.2008817908690186,27,3,0,1,0,0,2,0,1,1,2,2,0,2,1,1,1,-2.412330854855627,-2.953766784008456
0,0,1,2,2.2003787430058868,28,3,0,2,0,3,2,0,1,0,2,0,0,6,1,0,1,-1.841966251396907,-1.8328476375435376
1,1,1,2,2.1992347259977767,29,3,1,1,1,0,1,2,1,0,1,1,1,0,1,1,1,-1.1303974021996597,-0.20244237540578114
0,1,1,1,2.1984920734428286,30,3,1,1,0,0,1,0,1,0,2,1,1,6,0,1,1,0.3742448044454392,1.1702191660768015
0,0,0,0,2.1980032807308265,31,3,1,1,1,3,1,2,1,1,0,2,1,1,0,1,1,-0.30676384983969474,-1.0700374548568896
0,1,0,0,2.1979129826323964,32,2,1,2,2,3,0,2,1,1,2,1,0,6,0,0,1,-4.524636290016407,-1.8921066929159296
1,1,0,2,2.1973428033430693,33,3,0,1,2,0,0,2,0,0,2,2,1,3,0,0,1,-1.7546711573583211,0.938895143061008
0,1,1,2,2.194669270832329,34,3,1,2,2,1,0,0,1,0,1,0,0,3,1,1,1,-1.172963945484712,-2.9919248297772367
1,0,0,1,2.1922395164968163,35,2,0,1,1,1,0,0,1,0,0,0,1,2,0,0,1,-1.910158224889036,-0.7405592013676365
0,0,1,1,2.191319412156312,36,0,1,2,2,0,2,1,1,0,2,2,0,2,0,0,0,-1.6296201462065718,0.8981734361275775
0,1,1,0,2.1909509876445514,37,1,1,0,0,3,0,0,0,1,1,0,1,4,0,0,0,0.5046333019509026,0.01597039000270195
